"direct_nombre"
"Joe Boyd"
"Jeffrey W. Byrd"
"Scott Stewart"
"Alfonso Arau"
"Ellen Weissbrod"
"Michael Anderson"
"Stanley Kubrick"
"Theodore Witcher"
"Callie Khouri"
"Brett Ratner"
"Gil Kenan"
"Lewis Milestone"
"Carol Reed"
"Jared Hess"
"Gene Quintano"
"Charles Stone III"
"Nicholas Ray"
"Sam Mendes"
"Roman Polanski"
"John Dahl"
"Blayne Weaver"
"Billy Bob Thornton"
"Sam O'Steen"
"David Fairhead"
"Anthony Palmer"
"Adam McKay"
"Gordon Parks"
"John Stephenson"
"Norman Jewison"
"Manolo Caro"
"Marco Bonfanti"
"Lilly Wachowski"
"Lana Wachowski"
"Alan J. Pakula"
"Kevin Donovan"
"Charlotte Zwerin"
"Pete Travis"
"Nick Moore"
"Rodrigo Guardiola"
"Gabriel Cruz Rivas"
"Ruben Fleischer"
"Neeraj Pandey"
"Indrajit Nattoji"
"Raj Kumar Gupta"
"Arnab Chaudhuri"
"Rana Ranbir"
"David Zucker"
"Momoko Kamiya"
"Harry Baweja"
"Ken Ghosh"
"Kookie V. Gulati"
"Vivek Agnihotri"
"Umesh Shukla"
"Habib Faisal"
"Bobby Roth"
"Halder Gomes"
"Tony Zierra"
"B. Unnikrishnan"
"Sajid Khan"
"Saji Surendran"
"Ksshitij Chaudhary"
"Abhishek Kapoor"
"Gary Binkow"
"Chad Hartigan"
"Nishikant Kamat"
"Navinder Pal Singh"
"Dibakar Banerjee"
"Tigmanshu Dhulia"
"Kunal Deshmukh"
"Prakash Jha"
"R. Kannan"
"Gaurav Narayanan"
"Kevin Layne"
"Jon J. Whelan"
"Leanne Gater"
"Jennifer M. Kroot"
"Jay Russell"
"Wally Pfister"
"Akin Omotoso"
"Shyam Benegal"
"Satyajit Bhatkal"
"Bharat Jain"
"Alo Sarkar"
"Rajeev Chaudhari"
"Vishal Mishra"
"Takuya Inaba"
"Ali Bin Matar"
"Ibrahim Bin Mohamed"
"Daniel Ablin"
